Par_ref_offre|Par_cle|Par_nom|Code_rome|Code_OGR|Libelle_metier_OGR|Description|Off_experience_duree_min|Off_experience_duree_max|Exp_cle|Exp_libelle|Dur_cle_experience|Dur_libelle_experience|Off_experience_commentaire|Qua_cle|Qua_libelle|SCN_cle|SCN_libelle|Tfm_cle_1|Tfm_libelle_1|Dfm_cle_1|Dfm_libelle_1|Dfm_exi_cle_1|Dfm_exi_libelle_1|Tfm_cle_2|Tfm_libelle_2|Dfm_cle_2|Dfm_libelle_2|Dfm_exi_cle_2|Dfm_exi_libelle_2|Lan_cle_1|Lan_libelle_1|NVL_cle_1|NVL_libelle_1|"Lan_exi_cle_1 "|"Lan_exi_libelle_1 "|Lan_cle_2|Lan_libelle_2|NVL_cle_2|NVL_libelle_2|"Lan_exi_cle_2 "|"Lan_exi_libelle_2 "|Off_salaire_min|Off_salaire_max|TSA_cle|TSA_libelle|UMO_cle|UMO_libelle|Off_salaire_nb_mois|Off_salaire_cpt_commentaire|Off_travail_hebdo_nb_hh|Off_travail_hebdo_nb_mi|THO_cle|THO_libelle|Off_THO_commentaire|NTC_cle|NTC_libelle|TCO_cle|TCO_libelle|Off_contrat_duree_MO|Off_contrat_duree_JO|Off_adr_id|Off_adr_norme|Off_adr_compl_1|Off_adr_compl_2|Off_adr_no_voie|Off_adr_nom_voie|CPO_cle|COM_cle|COM_libelle|DEP_cle|DEP_libelle|REG_cle|REG_libelle|Pay_cle|Pay_libelle|CON_cle|CON_libelle|Coordonnee_geo_loc_1|Coordonnee_geo_loc_2|PCO_cle_1|PCO_libelle_1|PCO_exi_cle_1|PCO_exi_libelle_1|PCO_cle_2|PCO_libelle_2|PCO_exi_cle_2|PCO_exi_libelle_2|Off_date_creation|Off_date_modification|OST_poste_restant_nb|Off_client_final_siret|Off_client_final_nom|Off_etab_enseigne|Par_URL_offre|Col_cle|Col_nom|Col_URL_offre
533905|FEPEM|FEPEM|K1302|11255|"Assistant / Assistante de vie"|"Cherche AVS pour aide vie quotidienne, soins, accompagnement, déplacements. 3 nuits (19H30-8H), 4 journées (le vendredi 8H-19H), WE (horaires variables sur roulement) par mois. Sérieux, discrétion, ponctualité, disponibilité. Permis B min de 2 ans."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||78||||01||||||||||||||11/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=533905|||
465069|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Cherche quelqu&#39;un expirimentée pour le repassage"|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||59299||59||||01||||||||||||||02/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=465069|||
307793|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"||2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||94||||01||||||||||||||08/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=307793|||
668523|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Garde de 2 enfants de 5 et 10 ans de 17h à 19h du lundi au vendredi, et certains mercredi après-midi. Poste à pourvoir immédiatement pour toute l&#39;année scolaire"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||49007||49||||01||||||||||||||29/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668523|||
605174|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"garde à domicile hors vacances pour 2 enfants (6 et 8 ans)Petits travaux ménagers à exécuter Taux horaire : 9€ net/heure sur 28 semaines/an Travail déclaré à Pajemploi, déclaration URSSAF"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||38563||38||||01||||||||||||||01/11/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=605174|||
607484|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"S&#39;occuper de deux enfants de 11 et 15 ans après l&#39;école. Ils sont en garde alternée, emploi en alternance entre Ramonville et Vigoulet.L&#39;aîné est atteint d&#39;un handicap portant essentiellement sur le langage"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||31578||31||||01||||||||||||||07/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=607484|||
617070|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"bonjour, je cherche une personne de confiance pour garder mon garçon de 5ans. Pour aller le chercher à la sortie de l&#39;école jusqu&#39;à notre retour. Du lundi au vendredi et Mercredi ap midi."|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||69277||69||||01||||||||||||||08/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=617070|||
617072|FEPEM|FEPEM|K1303|11304|"Assistant maternel / Assistante maternelle"|"bonjour je cherche une personne sérieuse et de confiance pour garder mon garçon de 5ans de 16h30 jusqu&#39;à 20h30 du lundi au vendredi et le mercredi ap midi."|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||69277||69||||01||||||||||||||08/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=617072|||
617683|FEPEM|FEPEM|K1302|11255|"Assistant / Assistante de vie"|"Cherche AVS pour aide vie quotidienne, soins, accompagnement, déplacements. 3 nuits (19H30-8H), 4 journées (le vendredi 8H-19H), WE (horaires variables sur roulement) par mois. Sérieux, discrétion, ponctualité, disponibilité. Permis B min de 2 ans."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||78||||01||||||||||||||11/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=617683|||
626013|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"garde à domicile hors vacances pour 2 enfants (6 et 8 ans)Petits travaux ménagers à exécuter Taux horaire : 9€ net/heure sur 28 semaines/an Travail déclaré à Pajemploi, déclaration URSSAF"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||38563||38||||01||||||||||||||01/11/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=626013|||
632061|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"garde à domicile hors vacances pour 2 enfants (6 et 8 ans)Petits travaux ménagers à exécuter Taux horaire : 9€ net/heure sur 28 semaines/an Travail déclaré à Pajemploi, déclaration URSSAF"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||38563||38||||01||||||||||||||01/11/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=632061|||
636900|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"horaires : A déterminer avec la familleGarde périscolaire : aide aux devoirs,  goûter & dîner, activités d&#39;éveil.Langues : français et russeA mon domicile ou celui des parents 0762804532"|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||78297||78||||01||||||||||||||13/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=636900|||
639088|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Nous recherchons une garde d&#39;enfants à domicile pour reprendre 2 enfants à la sortie d&#39;école et les garder jusque 18h15 minimum(4 jours/sem) Véhicule souhaité.Secteur Lambersart/Lompret."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||59356||59||||01||||||||||||||03/10/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=639088|||
