Par_ref_offre|Par_cle|Par_nom|Code_rome|Code_OGR|Libelle_metier_OGR|Description|Off_experience_duree_min|Off_experience_duree_max|Exp_cle|Exp_libelle|Dur_cle_experience|Dur_libelle_experience|Off_experience_commentaire|Qua_cle|Qua_libelle|SCN_cle|SCN_libelle|Tfm_cle_1|Tfm_libelle_1|Dfm_cle_1|Dfm_libelle_1|Dfm_exi_cle_1|Dfm_exi_libelle_1|Tfm_cle_2|Tfm_libelle_2|Dfm_cle_2|Dfm_libelle_2|Dfm_exi_cle_2|Dfm_exi_libelle_2|Lan_cle_1|Lan_libelle_1|NVL_cle_1|NVL_libelle_1|"Lan_exi_cle_1 "|"Lan_exi_libelle_1 "|Lan_cle_2|Lan_libelle_2|NVL_cle_2|NVL_libelle_2|"Lan_exi_cle_2 "|"Lan_exi_libelle_2 "|Off_salaire_min|Off_salaire_max|TSA_cle|TSA_libelle|UMO_cle|UMO_libelle|Off_salaire_nb_mois|Off_salaire_cpt_commentaire|Off_travail_hebdo_nb_hh|Off_travail_hebdo_nb_mi|THO_cle|THO_libelle|Off_THO_commentaire|NTC_cle|NTC_libelle|TCO_cle|TCO_libelle|Off_contrat_duree_MO|Off_contrat_duree_JO|Off_adr_id|Off_adr_norme|Off_adr_compl_1|Off_adr_compl_2|Off_adr_no_voie|Off_adr_nom_voie|CPO_cle|COM_cle|COM_libelle|DEP_cle|DEP_libelle|REG_cle|REG_libelle|Pay_cle|Pay_libelle|CON_cle|CON_libelle|Coordonnee_geo_loc_1|Coordonnee_geo_loc_2|PCO_cle_1|PCO_libelle_1|PCO_exi_cle_1|PCO_exi_libelle_1|PCO_cle_2|PCO_libelle_2|PCO_exi_cle_2|PCO_exi_libelle_2|Off_date_creation|Off_date_modification|OST_poste_restant_nb|Off_client_final_siret|Off_client_final_nom|Off_etab_enseigne|Par_URL_offre|Col_cle|Col_nom|Col_URL_offre
667958|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Famille recherche pour la rentrée de septembre, une personne pour prendre en charge les enfants (2 garçons de 7 et 10 ans) après l&#39;école et les accompagner à leurs activités. Et faire le ménage en dehors de la présence des enfants."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||73||||01||||||||||||||13/07/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=667958|||
668523|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Garde de 2 enfants de 5 et 10 ans de 17h à 19h du lundi au vendredi, et certains mercredi après-midi. Poste à pourvoir immédiatement pour toute l&#39;année scolaire"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||49007||49||||01||||||||||||||29/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668523|||
651427|FEPEM|FEPEM|K1302|15207|Garde-malade|"Expérience de 2 ans  avec la garde d&#39;une personne âgée.Diplôme de faculté de pédagogie en RussieHoraires souhaités: jour de 8h à 20 hDisponible selon besoins.tel: 07 62 80 45 32"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||78297||78||||01||||||||||||||13/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=651427|||
668464|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Bonjour je recherche une prrsonne dynamique et gentille pour aider ma maman dans son quotidien. Suite à une operation  du bras certaines taches sont difficiles."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||11130||11||||01||||||||||||||24/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668464|||
660638|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Famille de 3 enfants de 14, 11 et 8 ans recherche une personne de confiance pour assurer la garde des enfants au domicile et assurer l&#39;aide aux devoirs du lundi au jeudi en période scolaire"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||92075||92||||01||||||||||||||20/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=660638|||
668170|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Recherche pour mars 2017 garde d&#39;enfant à mon domicile sauf mercredi et week-ends et une partie des vacances scolaires... horaires variables soit 8h 12h soit 11h 18h"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||73003||73||||01||||||||||||||31/07/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668170|||
662938|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Jeune femme à mobilité réduite cherche personne sérieuse et consciencieuse pour effectuer 1h à 1h30 d&#39;entretien de l&#39;appartement F2. URGENT"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||91386||91||||01||||||||||||||08/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=662938|||
663484|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Je recherche une aide-ménagère pour entretenir un appartement deux fois par semaine. Une fois en début de semaine et une fois en fin de semaine (idéalement le lundi et le vendredi)."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||74177||74||||01||||||||||||||20/07/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=663484|||
663801|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"recherche nounou a domicile serieuse pour petite fille 17 mois du lundi au vendredi de 8h a 17h"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||21||||01||||||||||||||30/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=663801|||
668563|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Nous recherchons un ou une employé pour nos tâches de ménage et repassage.Maison individuelle sans animaux.Idéalement les jeudi ou vendredi, l&#39;heure nous importe peu.Personne de confiance et proactive bienvenue."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||57022||57||||01||||||||||||||30/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668563|||
